alpha,T0.05,T0.10,T0.15,T0.20,T0.25,T0.30,T0.35,T0.40,T0.45,T0.50,T0.55,T0.60,T0.65,T0.70,T0.75,T0.80,T0.85,T0.90,T0.95,T1.00,T1.05,T1.10,T1.15,T1.20,T1.25,T1.30,T1.35,T1.40,T1.45,T1.50
0.20,0.8272,0.8385,0.8428,0.8464,0.8405,0.8328,0.8268,0.8266,0.7923,0.8094,0.8046,0.8222,0.7889,0.7907,0.7706,0.7639,0.7950,0.7948,0.7986,0.7580,0.7464,0.7724,0.7361,0.7348,0.7286,0.7001,0.7517,0.7047,0.7013,0.7027
0.22,0.8452,0.8576,0.8636,0.8610,0.8552,0.8449,0.8412,0.8516,0.8248,0.8211,0.8318,0.7641,0.8154,0.7756,0.7789,0.7403,0.7716,0.7591,0.7723,0.7521,0.7174,0.7623,0.6933,0.7424,0.7295,0.7239,0.6812,0.7414,0.7233,0.7058
0.24,0.8378,0.8498,0.8519,0.8451,0.8402,0.8307,0.8231,0.8084,0.7713,0.7602,0.6990,0.6984,0.7174,0.7077,0.6809,0.6889,0.6681,0.7072,0.6746,0.7038,0.6771,0.5782,0.6587,0.6735,0.6727,0.6117,0.5818,0.6032,0.5582,0.5772
0.26,0.8202,0.8465,0.8489,0.8407,0.8328,0.8096,0.7907,0.7812,0.7727,0.7064,0.7040,0.6820,0.6169,0.6615,0.5867,0.5998,0.5634,0.5782,0.5669,0.5367,0.5221,0.5629,0.5200,0.4632,0.4730,0.4660,0.4701,0.4086,0.4533,0.4026
0.28,0.7905,0.8433,0.8482,0.8276,0.7960,0.7937,0.7355,0.6857,0.5652,0.5739,0.5546,0.5010,0.4375,0.4391,0.4122,0.3902,0.3924,0.3479,0.2787,0.2569,0.2709,0.1734,0.1921,0.1945,0.2268,0.1906,0.1423,0.1223,0.1335,0.1509
0.30,0.7679,0.8396,0.8390,0.8209,0.8207,0.7644,0.7473,0.7001,0.5966,0.4886,0.4471,0.3817,0.2931,0.2984,0.2365,0.1854,0.1898,0.1194,0.1927,0.1152,0.0575,0.1252,0.0672,0.0574,0.0591,0.0476,0.0456,0.0395,0.0463,0.0449
0.32,0.7336,0.8351,0.8307,0.8067,0.8239,0.7939,0.7473,0.6909,0.6101,0.4974,0.4625,0.3587,0.2735,0.1949,0.1326,0.1148,0.0793,0.0249,0.0510,0.0599,0.0608,0.0112,0.0464,-0.0009,0.0652,0.0076,-0.0024,0.0225,0.0197,-0.0127
0.34,0.7102,0.8250,0.8272,0.8309,0.8218,0.8110,0.7666,0.7042,0.6239,0.5677,0.4213,0.2511,0.1884,0.1248,0.0814,0.0415,0.0125,0.0016,0.0204,0.0018,-0.0012,0.0297,0.0160,-0.0139,-0.0025,0.0074,0.0133,0.0377,-0.0260,-0.0070
0.36,0.6510,0.8086,0.7970,0.7921,0.8019,0.8152,0.7593,0.7327,0.6855,0.4950,0.4186,0.2045,0.1464,0.1125,0.0249,0.0134,0.0274,0.0070,0.0013,0.0528,-0.0141,0.0114,-0.0028,-0.0044,-0.0036,-0.0187,-0.0080,0.0135,0.0029,-0.0047
0.38,0.5553,0.7937,0.7892,0.7719,0.7919,0.7845,0.7534,0.7291,0.6650,0.5940,0.4728,0.4077,0.3261,0.1962,0.0520,0.0506,-0.0314,-0.0312,-0.0163,0.0019,-0.0081,-0.0402,-0.0381,0.0149,-0.0090,0.0300,0.0188,0.0066,-0.0597,0.0065
0.40,0.4939,0.7345,0.7219,0.7105,0.7420,0.7531,0.7233,0.6731,0.6008,0.5251,0.4068,0.2698,0.1419,0.1228,0.0910,0.0203,0.0078,-0.0071,0.0039,0.0072,0.0039,-0.0180,0.0062,-0.0148,-0.0218,-0.0067,-0.0014,-0.0073,0.0205,-0.0095
0.42,0.5157,0.7372,0.7083,0.7199,0.7342,0.7475,0.6803,0.6560,0.5952,0.5114,0.4157,0.2978,0.2705,0.1459,0.0944,0.0259,-0.0138,0.0089,-0.0074,0.0157,0.0155,0.0262,-0.0187,-0.0226,-0.0324,0.0364,0.0017,0.0026,0.0025,0.0090
0.44,0.4396,0.6682,0.6901,0.6557,0.6783,0.6760,0.6380,0.6024,0.5556,0.4792,0.3960,0.3568,0.1932,0.1544,0.0718,0.0260,-0.0015,0.0163,-0.0051,0.0313,0.0214,-0.0008,-0.0300,0.0175,-0.0102,-0.0059,-0.0154,0.0119,0.0239,-0.0096
0.46,0.3481,0.5677,0.5508,0.5431,0.5874,0.5982,0.5743,0.5514,0.4821,0.4326,0.3247,0.2761,0.1689,0.1411,0.0604,0.0229,-0.0154,0.0215,0.0335,0.0114,0.0096,0.0035,0.0371,-0.0223,-0.0179,0.0011,0.0135,-0.0107,0.0121,-0.0015
0.48,0.2105,0.4244,0.4509,0.4067,0.4348,0.3966,0.4279,0.4058,0.3456,0.2901,0.1982,0.1555,0.0702,0.1021,0.0150,0.0073,-0.0051,-0.0021,-0.0112,-0.0060,0.0084,0.0141,-0.0209,0.0166,0.0210,0.0092,-0.0107,0.0152,-0.0109,0.0042
0.50,0.1985,0.3784,0.4449,0.4169,0.4491,0.4152,0.4230,0.4003,0.3140,0.2200,0.2214,0.2025,0.1442,0.0643,0.0414,0.0295,-0.0100,0.0048,0.0447,-0.0063,0.0091,0.0210,-0.0012,-0.0088,-0.0143,0.0426,-0.0021,0.0086,0.0000,0.0311
0.52,0.0990,0.2502,0.2792,0.3171,0.3315,0.2797,0.3017,0.2950,0.2378,0.1690,0.1140,0.0492,0.0418,-0.0042,0.0211,-0.0001,-0.0447,0.0155,-0.0092,0.0146,-0.0116,0.0202,-0.0004,0.0119,-0.0268,-0.0070,-0.0055,-0.0125,0.0101,0.0101
0.54,0.0445,0.1616,0.1719,0.1971,0.2197,0.2363,0.1846,0.1794,0.1590,0.1085,0.0707,0.0766,0.0034,0.0013,-0.0136,0.0181,0.0094,-0.0053,0.0078,0.0178,0.0043,0.0101,0.0154,0.0117,-0.0036,-0.0193,-0.0168,0.0222,0.0168,-0.0085
