alpha,T,disorder,phi_a,phi_b,q12,phi_max_other
0.200,0.1000,1,0.961029,0.958984,0.917772,0.520368
0.200,0.6000,1,0.863863,0.860740,0.744943,0.529775
0.200,1.1000,1,0.823366,0.823540,0.674458,0.527405
0.200,1.6000,1,0.802970,0.804808,0.642259,0.524109
0.200,0.1000,2,0.958164,0.957558,0.916479,0.519569
0.200,0.6000,2,0.862627,0.859941,0.740997,0.523116
0.200,1.1000,2,0.822324,0.826914,0.684585,0.525013
0.200,1.6000,2,0.796317,0.796758,0.629327,0.526202
0.200,0.1000,3,0.958173,0.959466,0.916448,0.518183
0.200,0.6000,3,0.860744,0.863367,0.749040,0.527364
0.200,1.1000,3,0.825671,0.822901,0.674850,0.530569
0.200,1.6000,3,0.803918,0.804889,0.644828,0.533563
0.200,0.1000,4,0.955718,0.958163,0.915633,0.545283
0.200,0.6000,4,0.859737,0.862903,0.738603,0.541692
0.200,1.1000,4,0.818113,0.822457,0.670667,0.540738
0.200,1.6000,4,0.794848,0.797239,0.628624,0.529351
0.200,0.1000,5,0.958802,0.876599,0.840032,0.612094
0.200,0.6000,5,0.840611,0.821807,0.734704,0.682616
0.200,1.1000,5,0.816888,0.823963,0.662448,0.590556
0.200,1.6000,5,0.800296,0.518732,0.418231,0.553122
0.200,0.1000,6,0.959646,0.958189,0.918882,0.552675
0.200,0.6000,6,0.859278,0.863144,0.742430,0.543338
0.200,1.1000,6,0.821213,0.456389,0.378052,0.539177
0.200,1.6000,6,0.797235,0.803584,0.630687,0.538652
0.200,0.1000,7,0.959809,0.958729,0.924019,0.524980
0.200,0.6000,7,0.859645,0.862222,0.739125,0.538680
0.200,1.1000,7,0.819648,0.819041,0.679112,0.541429
0.200,1.6000,7,0.804526,0.801904,0.646023,0.539074
0.200,0.1000,8,0.961714,0.960494,0.924652,0.534198
0.200,0.6000,8,0.859042,0.860781,0.736044,0.540220
0.200,1.1000,8,0.820784,0.822446,0.672356,0.541168
0.200,1.6000,8,0.800803,0.796517,0.634610,0.539935
0.200,0.1000,9,0.961258,0.960693,0.919380,0.570762
0.200,0.6000,9,0.860604,0.841065,0.720498,0.550331
0.200,1.1000,9,0.397756,0.402672,0.240214,0.823048
0.200,1.6000,9,0.803363,0.795886,0.628620,0.551348
0.200,0.1000,10,0.959502,0.958773,0.922176,0.568159
0.200,0.6000,10,0.864486,0.862016,0.743706,0.548188
0.200,1.1000,10,0.822199,0.822185,0.674249,0.541263
0.200,1.6000,10,0.800551,0.803072,0.630719,0.539246
0.200,0.1000,11,0.959397,0.957981,0.921074,0.511287
0.200,0.6000,11,0.859806,0.862559,0.740429,0.526980
0.200,1.1000,11,0.816978,0.824270,0.675734,0.525423
0.200,1.6000,11,0.800810,0.805238,0.644095,0.527352
0.200,0.1000,12,0.958588,0.959769,0.922393,0.556731
0.200,0.6000,12,0.862180,0.512593,0.434830,0.548023
0.200,1.1000,12,0.825083,0.818530,0.669831,0.545205
0.200,1.6000,12,0.792906,0.796733,0.641361,0.529156
0.200,0.1000,13,0.957857,0.958705,0.918736,0.513240
0.200,0.6000,13,0.859887,0.863881,0.743900,0.525055
0.200,1.1000,13,0.821131,0.823809,0.684301,0.527475
0.200,1.6000,13,0.796485,0.801788,0.640202,0.523314
0.200,0.1000,14,0.959882,0.959897,0.920575,0.535998
0.200,0.6000,14,0.862662,0.862622,0.739736,0.537114
0.200,1.1000,14,0.820158,0.820110,0.672660,0.535033
0.200,1.6000,14,0.802685,0.799503,0.642828,0.534976
0.200,0.1000,15,0.957385,0.961712,0.920667,0.503153
0.200,0.6000,15,0.862469,0.860529,0.738828,0.519178
0.200,1.1000,15,0.819096,0.820111,0.664877,0.525130
0.200,1.6000,15,0.805190,0.798693,0.643722,0.520429
0.200,0.1000,16,0.957978,0.958779,0.921045,0.525830
0.200,0.6000,16,0.862795,0.860918,0.739291,0.530409
0.200,1.1000,16,0.825212,0.821365,0.681449,0.531082
0.200,1.6000,16,0.800134,0.799071,0.639508,0.535831
0.250,0.1000,1,0.959239,0.957722,0.918838,0.597194
0.250,0.6000,1,0.494993,0.499151,0.309290,0.868201
0.250,1.1000,1,0.501615,0.509526,0.666967,0.819080
0.250,1.6000,1,0.081584,0.519958,0.117501,0.797107
0.250,0.1000,2,0.956099,0.873322,0.834347,0.604302
0.250,0.6000,2,0.514187,0.629311,0.692319,0.866684
0.250,1.1000,2,0.431566,0.757278,0.334426,0.824615
0.250,1.6000,2,0.804812,0.350137,0.292113,0.596824
0.250,0.1000,3,0.959409,0.958045,0.918029,0.605073
0.250,0.6000,3,0.859092,0.436566,0.370410,0.613247
0.250,1.1000,3,0.824020,0.381629,0.319919,0.594357
0.250,1.6000,3,0.798012,0.804871,0.632865,0.602036
0.250,0.1000,4,0.959948,0.960381,0.919957,0.574023
0.250,0.6000,4,0.070609,0.863022,0.065460,0.863124
0.250,1.1000,4,0.822523,0.824438,0.680532,0.583429
0.250,1.6000,4,0.420763,0.806113,0.323818,0.805362
0.250,0.1000,5,0.958878,0.959211,0.920847,0.569681
0.250,0.6000,5,0.368332,0.442453,0.110472,0.839396
0.250,1.1000,5,0.725786,0.826202,0.608375,0.664393
0.250,1.6000,5,0.337306,0.226320,0.175630,0.803708
0.250,0.1000,6,0.957923,0.960020,0.919690,0.571382
0.250,0.6000,6,0.862020,0.544552,0.467906,0.584423
0.250,1.1000,6,0.817772,0.821963,0.676417,0.584927
0.250,1.6000,6,0.801577,0.625819,0.510998,0.589007
0.250,0.1000,7,0.865437,0.955846,0.835462,0.868379
0.250,0.6000,7,0.786891,0.488523,0.394864,0.781118
0.250,1.1000,7,0.821343,0.502367,0.428967,0.592668
0.250,1.6000,7,0.218073,0.403464,0.098762,0.801869
0.250,0.1000,8,0.959516,0.959090,0.922001,0.586882
0.250,0.6000,8,0.321909,0.312824,-0.034519,0.859738
0.250,1.1000,8,0.822966,0.825684,0.676182,0.588967
0.250,1.6000,8,0.363325,0.194294,0.132029,0.806809
0.250,0.1000,9,0.959156,0.960496,0.920629,0.562757
0.250,0.6000,9,0.860804,0.452718,0.383152,0.580568
0.250,1.1000,9,0.823597,0.817786,0.673603,0.585669
0.250,1.6000,9,0.264789,0.420232,0.137057,0.800184
0.250,0.1000,10,0.957303,0.960434,0.917509,0.606002
0.250,0.6000,10,0.847635,0.629474,0.529664,0.659667
0.250,1.1000,10,0.493736,0.301513,0.174595,0.827068
0.250,1.6000,10,0.225379,0.429665,0.192894,0.796532
0.250,0.1000,11,0.957496,0.959175,0.915252,0.572268
0.250,0.6000,11,0.231181,0.790038,0.282106,0.840882
0.250,1.1000,11,0.819695,0.331293,0.279562,0.589476
0.250,1.6000,11,0.800535,0.438979,0.346967,0.591812
0.250,0.1000,12,0.959470,0.956897,0.917446,0.581266
0.250,0.6000,12,0.486748,0.388074,0.220232,0.860153
0.250,1.1000,12,0.243386,0.467628,0.267389,0.820851
0.250,1.6000,12,0.685647,0.795335,0.544510,0.662773
0.250,0.1000,13,0.959681,0.958924,0.918735,0.583532
0.250,0.6000,13,0.852031,0.855614,0.736243,0.621252
0.250,1.1000,13,0.479211,0.822221,0.398530,0.821450
0.250,1.6000,13,0.195821,0.796412,0.168916,0.803506
0.300,0.1000,1,0.861320,0.810960,0.892533,0.864307
0.300,0.6000,1,0.020623,0.109947,-0.022957,0.837053
0.300,1.1000,1,-0.094465,0.148791,-0.107403,0.823550
0.300,1.6000,1,-0.009076,0.092987,0.160875,0.797347
0.300,0.1000,2,0.879346,0.873751,0.929553,0.868461
0.300,0.6000,2,0.109735,-0.160965,0.032892,0.841738
0.300,1.1000,2,0.003203,-0.054178,0.030646,0.824425
0.300,1.6000,2,0.045682,-0.041175,-0.072014,0.797572
0.300,0.1000,3,0.895307,0.896465,0.933204,0.893233
0.300,0.6000,3,0.056201,0.271239,-0.136622,0.837809
0.300,1.1000,3,-0.101952,0.196332,-0.009481,0.820110
0.300,1.6000,3,-0.042125,0.141801,-0.119593,0.788317
0.300,0.1000,4,0.830386,0.827553,0.952091,0.881176
0.300,0.6000,4,0.244386,0.773027,0.284873,0.829638
0.300,1.1000,4,0.019358,-0.101577,0.053937,0.820886
0.300,1.6000,4,0.100072,-0.155444,0.018043,0.797644
0.300,0.1000,5,0.958961,0.822367,0.786228,0.623806
0.300,0.6000,5,0.245446,0.141235,0.065884,0.837274
0.300,1.1000,5,-0.107255,-0.111916,0.053925,0.827288
0.300,1.6000,5,0.084623,0.010999,-0.086386,0.797151
0.300,0.1000,6,0.875600,0.840695,0.699732,0.876395
0.300,0.6000,6,0.007326,0.042535,-0.063236,0.842158
0.300,1.1000,6,0.154597,0.150738,-0.020965,0.819472
0.300,1.6000,6,-0.126715,-0.189392,-0.017263,0.804069
0.300,0.1000,7,0.834114,0.834634,0.957192,0.827483
0.300,0.6000,7,-0.002877,-0.076225,-0.135457,0.845334
0.300,1.1000,7,0.009800,0.122469,0.008451,0.817344
0.300,1.6000,7,0.031843,0.052767,-0.109817,0.797152
0.300,0.1000,8,0.853807,0.890428,0.904600,0.845549
0.300,0.6000,8,0.452643,-0.213286,-0.180040,0.841733
0.300,1.1000,8,-0.070132,-0.116868,0.101962,0.820723
0.300,1.6000,8,0.077289,0.189539,-0.080008,0.797674
0.300,0.1000,9,0.962140,0.950674,0.915708,0.617008
0.300,0.6000,9,0.160251,0.352489,0.017190,0.843904
0.300,1.1000,9,0.052238,-0.028693,0.006458,0.815309
0.300,1.6000,9,-0.024543,-0.050423,0.068511,0.792871
0.300,0.1000,10,0.815885,0.809491,0.677264,0.860500
0.300,0.6000,10,0.461021,-0.238829,-0.180671,0.841559
0.300,1.1000,10,0.027515,-0.021095,0.075946,0.827035
0.300,1.6000,10,-0.098568,0.033170,-0.001273,0.804136
0.350,0.1000,1,0.795956,0.830122,0.649882,0.823638
0.350,0.6000,1,-0.130761,-0.058811,0.072380,0.832309
0.350,1.1000,1,0.024689,0.017100,0.045470,0.807440
0.350,1.6000,1,-0.020161,0.188627,-0.006635,0.795745
0.350,0.1000,2,0.810616,0.584302,0.443571,0.827914
0.350,0.6000,2,0.044858,-0.003138,0.024054,0.831747
0.350,1.1000,2,0.084965,-0.126674,0.008814,0.811285
0.350,1.6000,2,0.037260,-0.071699,0.015061,0.792994
0.350,0.1000,3,0.749191,0.809213,0.735142,0.857620
0.350,0.6000,3,0.134040,-0.044832,-0.028931,0.832154
0.350,1.1000,3,0.041830,0.037388,0.037500,0.814025
0.350,1.6000,3,0.027821,-0.183014,-0.012626,0.788984
0.350,0.1000,4,0.489928,0.785767,0.366407,0.850539
0.350,0.6000,4,0.538876,-0.034905,-0.076898,0.844454
0.350,1.1000,4,0.045262,-0.052054,-0.027026,0.810867
0.350,1.6000,4,-0.039203,0.058334,-0.026032,0.796079
0.350,0.1000,5,0.632524,0.814010,0.455044,0.824652
0.350,0.6000,5,0.002050,-0.300630,0.037718,0.834211
0.350,1.1000,5,0.072812,0.051066,0.044073,0.809617
0.350,1.6000,5,-0.026346,-0.069063,0.021594,0.797333
0.350,0.1000,6,0.786961,0.812602,0.615833,0.820179
0.350,0.6000,6,-0.035838,-0.013023,-0.035242,0.823362
0.350,1.1000,6,0.157631,-0.059707,-0.005932,0.805343
0.350,1.6000,6,-0.093386,-0.110040,-0.064546,0.791704
0.350,0.1000,7,0.600449,0.782738,0.744419,0.862845
0.350,0.6000,7,0.040162,0.059805,-0.085213,0.830437
0.350,1.1000,7,0.031899,-0.029826,-0.000904,0.809601
0.350,1.6000,7,-0.007924,0.047420,0.051384,0.797156
0.350,0.1000,8,0.817635,0.823867,0.746045,0.834709
0.350,0.6000,8,0.103932,-0.071481,0.065349,0.827164
0.350,1.1000,8,-0.009175,0.036803,0.094099,0.817458
0.350,1.6000,8,0.051914,0.124888,-0.035228,0.789820
