alpha,T0.0100,T0.0112,T0.0125,T0.0140,T0.0157,T0.0176,T0.0197,T0.0220,T0.0246,T0.0276,T0.0309,T0.0345,T0.0387,T0.0433,T0.0484,T0.0542,T0.0607,T0.0679,T0.0760,T0.0851,T0.0952,T0.1066,T0.1193,T0.1335,T0.1495,T0.1673,T0.1872,T0.2096,T0.2346,T0.2625,T0.2939,T0.3289,T0.3681,T0.4120,T0.4612,T0.5162,T0.5778,T0.6467,T0.7238,T0.8101,T0.9068,T1.0149,T1.1360,T1.2715,T1.4232,T1.5929,T1.7829,T1.9956,T2.2336,T2.5000
0.01,0.9167,0.9165,0.9170,0.9168,0.9174,0.9177,0.9159,0.9176,0.9169,0.9188,0.9175,0.9164,0.9159,0.9158,0.9162,0.9172,0.9158,0.9172,0.9167,0.9173,0.9171,0.9160,0.9134,0.9144,0.9151,0.9143,0.9094,0.9094,0.9001,0.8953,0.8854,0.8719,0.8549,0.8346,0.8116,0.7883,0.7650,0.7402,0.7137,0.6857,0.6559,0.6252,0.5936,0.5609,0.5273,0.4935,0.4596,0.4268,0.3942,0.3628
0.02,0.9276,0.9297,0.9290,0.9316,0.9292,0.9284,0.9286,0.9301,0.9294,0.9274,0.9289,0.9295,0.9287,0.9296,0.9274,0.9279,0.9266,0.9291,0.9278,0.9273,0.9282,0.9264,0.9276,0.9242,0.9215,0.9207,0.9166,0.9116,0.9038,0.8928,0.8795,0.8614,0.8433,0.8230,0.8030,0.7807,0.7583,0.7342,0.7076,0.6802,0.6508,0.6203,0.5882,0.5559,0.5220,0.4887,0.4550,0.4218,0.3817,0.3123
0.03,0.9335,0.9346,0.9331,0.9334,0.9330,0.9336,0.9328,0.9341,0.9342,0.9319,0.9329,0.9339,0.9329,0.9342,0.9336,0.9320,0.9330,0.9334,0.9328,0.9314,0.9316,0.9316,0.9302,0.9290,0.9261,0.9228,0.9181,0.9111,0.9033,0.8895,0.8753,0.8576,0.8399,0.8210,0.8008,0.7799,0.7566,0.7323,0.7063,0.6786,0.6493,0.6182,0.5868,0.5541,0.5205,0.4864,0.4408,0.3543,0.1864,0.0671
0.04,0.9377,0.9364,0.9363,0.9373,0.9366,0.9365,0.9374,0.9355,0.9377,0.9369,0.9374,0.9377,0.9369,0.9363,0.9357,0.9356,0.9357,0.9366,0.9350,0.9344,0.9344,0.9347,0.9338,0.9309,0.9296,0.9244,0.9197,0.9105,0.9011,0.8890,0.8733,0.8562,0.8387,0.8196,0.8002,0.7791,0.7559,0.7314,0.7057,0.6776,0.6484,0.6178,0.5858,0.5529,0.5172,0.4512,0.2826,0.1071,0.0435,0.0242
0.05,0.9392,0.9394,0.9396,0.9383,0.9394,0.9388,0.9389,0.9383,0.9387,0.9389,0.9387,0.9384,0.9400,0.9406,0.9371,0.9381,0.9389,0.9383,0.9374,0.9389,0.9378,0.9358,0.9344,0.9327,0.9287,0.9277,0.9189,0.9106,0.9007,0.8867,0.8720,0.8546,0.8377,0.8191,0.7993,0.7784,0.7556,0.7315,0.7054,0.6775,0.6482,0.6177,0.5849,0.5398,0.4502,0.2500,0.0825,0.0348,0.0203,0.0138
0.06,0.9411,0.9414,0.9408,0.9408,0.9415,0.9407,0.9408,0.9413,0.9408,0.9424,0.9406,0.9401,0.9407,0.9414,0.9410,0.9399,0.9404,0.9404,0.9387,0.9393,0.9373,0.9376,0.9366,0.9327,0.9306,0.9255,0.9190,0.9102,0.8997,0.8853,0.8694,0.8548,0.8374,0.8190,0.7990,0.7781,0.7553,0.7311,0.7051,0.6771,0.6478,0.6167,0.5743,0.4700,0.2354,0.0795,0.0338,0.0203,0.0133,0.0100
0.07,0.9425,0.9431,0.9424,0.9431,0.9418,0.9427,0.9425,0.9426,0.9432,0.9419,0.9418,0.9430,0.9429,0.9419,0.9433,0.9425,0.9418,0.9422,0.9415,0.9415,0.9397,0.9387,0.9364,0.9369,0.9311,0.9260,0.9191,0.9106,0.8997,0.8851,0.8690,0.8537,0.8369,0.8186,0.7991,0.7779,0.7552,0.7306,0.7046,0.6769,0.6473,0.6041,0.5017,0.2634,0.0871,0.0346,0.0195,0.0130,0.0097,0.0087
0.08,0.9444,0.9446,0.9438,0.9441,0.9439,0.9450,0.9438,0.9441,0.9444,0.9444,0.9444,0.9439,0.9443,0.9428,0.9427,0.9434,0.9426,0.9428,0.9428,0.9420,0.9416,0.9400,0.9384,0.9362,0.9321,0.9261,0.9186,0.9093,0.8990,0.8857,0.8693,0.8535,0.8362,0.8183,0.7991,0.7779,0.7553,0.7312,0.7049,0.6762,0.6409,0.5480,0.3147,0.1043,0.0395,0.0210,0.0138,0.0098,0.0071,0.0067
0.09,0.9457,0.9458,0.9451,0.9455,0.9464,0.9453,0.9459,0.9447,0.9456,0.9461,0.9444,0.9439,0.9454,0.9452,0.9452,0.9450,0.9445,0.9437,0.9441,0.9436,0.9426,0.9398,0.9395,0.9355,0.9331,0.9267,0.9192,0.9097,0.8968,0.8823,0.8684,0.8528,0.8367,0.8185,0.7988,0.7781,0.7554,0.7308,0.7048,0.6722,0.5953,0.3831,0.1314,0.0483,0.0239,0.0146,0.0100,0.0078,0.0063,0.0052
0.10,0.9467,0.9470,0.9465,0.9466,0.9462,0.9463,0.9466,0.9472,0.9469,0.9460,0.9459,0.9463,0.9455,0.9470,0.9463,0.9456,0.9459,0.9456,0.9444,0.9450,0.9441,0.9419,0.9394,0.9373,0.9321,0.9263,0.9180,0.9115,0.8978,0.8831,0.8685,0.8529,0.8360,0.8180,0.7986,0.7778,0.7552,0.7306,0.7018,0.6411,0.4753,0.1999,0.0625,0.0284,0.0164,0.0109,0.0084,0.0070,0.0053,0.0046
0.11,0.9469,0.9477,0.9478,0.9479,0.9476,0.9474,0.9474,0.9476,0.9479,0.9469,0.9477,0.9471,0.9478,0.9470,0.9468,0.9466,0.9456,0.9462,0.9467,0.9452,0.9439,0.9424,0.9403,0.9373,0.9320,0.9270,0.9185,0.9092,0.8972,0.8835,0.8683,0.8527,0.8362,0.8179,0.7985,0.7777,0.7551,0.7279,0.6900,0.5636,0.2918,0.0995,0.0368,0.0197,0.0123,0.0090,0.0066,0.0055,0.0048,0.0040
0.12,0.9492,0.9483,0.9485,0.9488,0.9491,0.9480,0.9481,0.9485,0.9485,0.9481,0.9485,0.9480,0.9483,0.9484,0.9480,0.9487,0.9469,0.9471,0.9462,0.9465,0.9448,0.9434,0.9412,0.9385,0.9331,0.9266,0.9195,0.9087,0.8959,0.8824,0.8684,0.8526,0.8360,0.8182,0.7990,0.7775,0.7539,0.7200,0.6333,0.4008,0.1431,0.0514,0.0246,0.0141,0.0100,0.0069,0.0059,0.0044,0.0040,0.0038
0.13,0.9499,0.9495,0.9496,0.9494,0.9498,0.9498,0.9491,0.9490,0.9487,0.9489,0.9494,0.9490,0.9496,0.9499,0.9486,0.9488,0.9483,0.9478,0.9472,0.9463,0.9453,0.9434,0.9415,0.9372,0.9332,0.9276,0.9181,0.9086,0.8962,0.8815,0.8681,0.8524,0.8363,0.8180,0.7990,0.7768,0.7499,0.6887,0.4927,0.2234,0.0774,0.0324,0.0169,0.0110,0.0079,0.0055,0.0044,0.0040,0.0036,0.0030
0.14,0.9509,0.9499,0.9504,0.9500,0.9509,0.9496,0.9507,0.9491,0.9508,0.9498,0.9505,0.9498,0.9509,0.9493,0.9491,0.9499,0.9493,0.9478,0.9479,0.9474,0.9460,0.9443,0.9416,0.9384,0.9333,0.9259,0.9191,0.9073,0.8954,0.8822,0.8673,0.8524,0.8360,0.8183,0.7989,0.7763,0.7402,0.6199,0.3490,0.1156,0.0471,0.0233,0.0135,0.0094,0.0064,0.0055,0.0044,0.0036,0.0032,0.0029
0.15,0.9513,0.9511,0.9512,0.9514,0.9507,0.9515,0.9520,0.9513,0.9514,0.9511,0.9514,0.9505,0.9515,0.9508,0.9511,0.9499,0.9504,0.9492,0.9486,0.9484,0.9467,0.9447,0.9429,0.9385,0.9340,0.9268,0.9177,0.9082,0.8954,0.8820,0.8672,0.8528,0.8362,0.8181,0.7985,0.7677,0.6909,0.4775,0.1835,0.0621,0.0282,0.0152,0.0101,0.0078,0.0052,0.0043,0.0037,0.0031,0.0033,0.0028
0.16,0.9526,0.9518,0.9520,0.9526,0.9524,0.9519,0.9527,0.9523,0.9511,0.9513,0.9517,0.9519,0.9514,0.9515,0.9511,0.9508,0.9507,0.9505,0.9501,0.9485,0.9472,0.9465,0.9430,0.9391,0.9341,0.9264,0.9186,0.9080,0.8945,0.8817,0.8677,0.8522,0.8361,0.8180,0.7939,0.7463,0.6155,0.3301,0.1061,0.0440,0.0212,0.0126,0.0078,0.0069,0.0048,0.0039,0.0034,0.0030,0.0025,0.0022
0.17,0.9527,0.9526,0.9520,0.9529,0.9523,0.9529,0.9527,0.9521,0.9529,0.9523,0.9524,0.9517,0.9513,0.9525,0.9527,0.9508,0.9522,0.9515,0.9498,0.9494,0.9486,0.9456,0.9428,0.9378,0.9342,0.9270,0.9175,0.9065,0.8944,0.8817,0.8674,0.8528,0.8359,0.8163,0.7811,0.6961,0.4630,0.1825,0.0645,0.0274,0.0160,0.0103,0.0070,0.0053,0.0045,0.0040,0.0028,0.0025,0.0025,0.0023
0.18,0.9534,0.9532,0.9534,0.9522,0.9525,0.9533,0.9542,0.9523,0.9531,0.9534,0.9519,0.9530,0.9525,0.9530,0.9530,0.9514,0.9521,0.9517,0.9514,0.9502,0.9478,0.9462,0.9432,0.9383,0.9335,0.9273,0.9170,0.9062,0.8949,0.8815,0.8673,0.8526,0.8359,0.8131,0.7674,0.6352,0.3347,0.1146,0.0435,0.0208,0.0127,0.0088,0.0060,0.0048,0.0042,0.0034,0.0029,0.0027,0.0026,0.0020
0.19,0.9537,0.9541,0.9534,0.9535,0.9534,0.9533,0.9535,0.9541,0.9531,0.9536,0.9529,0.9532,0.9535,0.9530,0.9534,0.9527,0.9528,0.9519,0.9516,0.9505,0.9494,0.9464,0.9440,0.9397,0.9331,0.9259,0.9167,0.9067,0.8941,0.8813,0.8674,0.8526,0.8340,0.8058,0.7262,0.5116,0.2225,0.0802,0.0319,0.0168,0.0104,0.0069,0.0055,0.0042,0.0040,0.0031,0.0027,0.0018,0.0021,0.0020
0.20,0.9537,0.9537,0.9544,0.9545,0.9545,0.9536,0.9544,0.9538,0.9536,0.9543,0.9540,0.9546,0.9540,0.9542,0.9537,0.9533,0.9526,0.9519,0.9521,0.9517,0.9486,0.9465,0.9449,0.9399,0.9347,0.9259,0.9170,0.9061,0.8938,0.8810,0.8674,0.8517,0.8289,0.7913,0.6606,0.3773,0.1421,0.0500,0.0248,0.0125,0.0095,0.0066,0.0048,0.0039,0.0034,0.0033,0.0025,0.0024,0.0025,0.0020
0.21,0.9550,0.9554,0.9551,0.9554,0.9550,0.9549,0.9543,0.9545,0.9550,0.9547,0.9540,0.9548,0.9543,0.9545,0.9539,0.9543,0.9536,0.9530,0.9531,0.9517,0.9500,0.9480,0.9435,0.9390,0.9336,0.9261,0.9165,0.9066,0.8937,0.8807,0.8671,0.8493,0.8211,0.7459,0.5457,0.2375,0.0832,0.0367,0.0187,0.0121,0.0075,0.0054,0.0046,0.0032,0.0028,0.0023,0.0028,0.0023,0.0019,0.0015
0.22,0.9550,0.9558,0.9554,0.9551,0.9552,0.9558,0.9555,0.9560,0.9551,0.9556,0.9558,0.9553,0.9547,0.9548,0.9551,0.9543,0.9534,0.9539,0.9526,0.9519,0.9503,0.9473,0.9437,0.9395,0.9344,0.9252,0.9163,0.9056,0.8929,0.8812,0.8651,0.8458,0.7987,0.6567,0.3774,0.1375,0.0508,0.0257,0.0144,0.0088,0.0062,0.0049,0.0039,0.0032,0.0028,0.0024,0.0024,0.0020,0.0013,0.0016
0.23,0.9565,0.9565,0.9556,0.9564,0.9560,0.9561,0.9564,0.9564,0.9560,0.9561,0.9559,0.9555,0.9557,0.9556,0.9555,0.9554,0.9547,0.9536,0.9537,0.9523,0.9511,0.9485,0.9449,0.9411,0.9334,0.9257,0.9159,0.9053,0.8933,0.8793,0.8612,0.8271,0.7446,0.5109,0.2150,0.0764,0.0318,0.0174,0.0112,0.0074,0.0051,0.0040,0.0032,0.0031,0.0024,0.0024,0.0016,0.0020,0.0016,0.0012
0.24,0.9558,0.9572,0.9563,0.9571,0.9569,0.9566,0.9566,0.9572,0.9568,0.9554,0.9560,0.9560,0.9565,0.9561,0.9550,0.9562,0.9546,0.9554,0.9531,0.9517,0.9511,0.9479,0.9455,0.9393,0.9338,0.9261,0.9167,0.9056,0.8935,0.8783,0.8580,0.8156,0.6924,0.4035,0.1578,0.0583,0.0249,0.0149,0.0095,0.0065,0.0045,0.0035,0.0031,0.0021,0.0026,0.0021,0.0021,0.0019,0.0015,0.0016
0.25,0.9567,0.9579,0.9574,0.9571,0.9569,0.9575,0.9582,0.9578,0.9574,0.9565,0.9573,0.9568,0.9567,0.9572,0.9568,0.9569,0.9555,0.9545,0.9546,0.9540,0.9515,0.9481,0.9443,0.9399,0.9333,0.9250,0.9165,0.9040,0.8922,0.8745,0.8439,0.7467,0.5370,0.2257,0.0811,0.0340,0.0174,0.0110,0.0075,0.0062,0.0042,0.0031,0.0029,0.0023,0.0020,0.0019,0.0014,0.0017,0.0018,0.0010
0.26,0.9582,0.9573,0.9573,0.9578,0.9576,0.9566,0.9575,0.9579,0.9569,0.9576,0.9574,0.9573,0.9578,0.9574,0.9570,0.9561,0.9548,0.9553,0.9544,0.9521,0.9499,0.9476,0.9434,0.9400,0.9327,0.9240,0.9156,0.9034,0.8900,0.8719,0.8186,0.6927,0.4075,0.1510,0.0597,0.0285,0.0145,0.0099,0.0062,0.0046,0.0043,0.0029,0.0027,0.0024,0.0018,0.0018,0.0015,0.0013,0.0011,0.0013
